Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------
| Tool Version              : Vivado v.2021.1_AR76722 (lin64) Build 3428450 Thu Jan 13 11:43:02 MST 2022
| Date                      : Sun Apr  9 23:50:36 2023
| Host                      : ws35 running 64-bit CentOS Linux release 7.9.2009 (Core)
| Command                   : report_io -file pinloc.txt
| Design                    : FB1_uC
| Device                    : xcvu19p
| Speed File                : -1
| Package                   : fsva3824
| Package Version           : PRODUCTION 1.3 11/27/2019
| Package Pin Delay Version : PRODUCTION 1.0 3/20/2019
---------------------------------------------------------------------------------------------------------

IO Information

Table of Contents
-----------------
1. Summary
2. IO Assignments by Package Pin

1. Summary
----------

+---------------+
| Total User IO |
+---------------+
|           426 |
+---------------+


2. IO Assignments by Package Pin
--------------------------------

+------------+----------------------------+------------------+------------------------------------+------------+---------------+-----------------+---------+------------+-------------------------+------+-------------------+----------------------+-----------+------------+-----------+----------+----------+------------------+--------------+-------------------+--------------+
| Pin Number | Signal Name                | Bank Type        | Pin Name                           | SLR Region | Use           | IO Standard     | IO Bank | Drive (mA) | Output Impedance (ohms) | Slew | Input Termination | Off-Chip Termination |   Voltage | Constraint | Pull Type | DQS Bias | Vref     | Signal Integrity | Pre Emphasis | Lvds Pre Emphasis | Equalization |
| AY18       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY19       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY20       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY21       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY22       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY23       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY24       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY25       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY26       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY27       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY28       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY29       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY30       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY31       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY32       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY33       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY34       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY35       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY36       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY37       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY38       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY39       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY40       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY41       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY42       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY43       |                            |                  | VCCINT                             |            | VCCINT        |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY44       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY45       |                            | High Performance | IO_L6N_T0U_N11_AD6N_26             | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY46       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY47       |                            | High Performance | IO_L4P_T0U_N6_DBC_AD7P_26          | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY48       |                            | High Performance | IO_L5N_T0U_N9_AD14N_26             | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY49       |                            | High Performance | IO_T1U_N12_26                      | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY50       |                            | High Performance | IO_L12P_T1U_N10_GC_26              | 1          | GCLK          |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY51       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY52       |                            | High Performance | IO_L14P_T2L_N2_GC_26               | 1          | GCLK          |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY53       |                            | High Performance | IO_L14N_T2L_N3_GC_26               | 1          | GCLK          |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY54       |                            | High Performance | IO_L15P_T2L_N4_AD11P_26            | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY55       |                            | High Performance | IO_T3U_N12_26                      | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY56       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| AY57       |                            | High Performance | IO_L24P_T3U_N10_26                 | 1          | User IO       |                 |      26 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY58       |                            | High Performance | VREF_25                            |            | Voltage       |                 |      25 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY59       |                            | High Performance | IO_L23P_T3U_N8_25                  | 1          | User IO       |                 |      25 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY60       |                            | High Performance | IO_L21N_T3L_N5_AD8N_25             | 1          | User IO       |                 |      25 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY61       |                            | High Performance | VCCO_25                            |            | VCCO          |                 |      25 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| AY62       |                            | High Performance | IO_L20N_T3L_N3_AD1N_25             | 1          | User IO       |                 |      25 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| AY63       |                            | High Performance | IO_T3U_N12_25                      | 1          | User IO       |                 |      25 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B3         |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B4         |                            | High Performance | IO_L7N_T1L_N1_QBC_AD13N_78         | 3          | User IO       |                 |      78 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B5         |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B6         |                            | High Performance | IO_L5N_T0U_N9_AD14N_78             | 3          | User IO       |                 |      78 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B7         |                            | High Performance | IO_L1P_T0L_N0_DBC_78               | 3          | User IO       |                 |      78 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B8         |                            | High Performance | IO_L24N_T3U_N11_77                 | 3          | User IO       |                 |      77 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B9         |                            | High Performance | IO_L24P_T3U_N10_77                 | 3          | User IO       |                 |      77 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B10        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B11        |                            | High Performance | IO_L21P_T3L_N4_AD8P_77             | 3          | User IO       |                 |      77 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B12        |                            | High Performance | IO_L20P_T3L_N2_AD1P_76             | 3          | User IO       |                 |      76 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B13        |                            | High Performance | IO_T3U_N12_76                      | 3          | User IO       |                 |      76 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B14        |                            | High Performance | IO_L21N_T3L_N5_AD8N_76             | 3          | User IO       |                 |      76 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B15        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B16        |                            | High Performance | IO_L19P_T3L_N0_DBC_AD9P_76         | 3          | User IO       |                 |      76 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B17        |                            | High Performance | IO_L7P_T1L_N0_QBC_AD13P_74         | 3          | User IO       |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B18        |                            | High Performance | IO_L9N_T1L_N5_AD12N_74             | 3          | User IO       |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B19        |                            | High Performance | IO_L8P_T1L_N2_AD5P_74              | 3          | User IO       |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B20        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B21        |                            | High Performance | IO_L12N_T1U_N11_GC_74              | 3          | GCLK          |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B22        |                            | High Performance | IO_L12P_T1U_N10_GC_74              | 3          | GCLK          |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B23        |                            | High Performance | IO_T0U_N12_VRP_74                  | 3          | User IO       |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B24        |                            | High Performance | IO_L4P_T0U_N6_DBC_AD7P_74          | 3          | User IO       |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B25        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B26        |                            | High Performance | IO_L6N_T0U_N11_AD6N_74             | 3          | User IO       |                 |      74 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B27        | ALUOUTMEM_aptn_s[11]       | High Performance | IO_L2P_T0L_N2_71                   | 2          | OUTPUT        | SSTL12_DCI      |      71 |            |                         | SLOW |                   |            FP_VTT_50 |           | FIXED      |           |          |          | SPLIT            |              |                   |              |
| B28        | ALUOUTMEM_aptn_s[26]       | High Performance | IO_L6N_T0U_N11_AD6N_71             | 2          | OUTPUT        | SSTL12_DCI      |      71 |            |                         | SLOW |                   |            FP_VTT_50 |           | FIXED      |           |          |          | SPLIT            |              |                   |              |
| B29        | WRITEDATAWB[21]            | High Performance | IO_L6P_T0U_N10_AD6P_71             | 2          | INPUT         | SSTL12_DCI      |      71 |            |                         |      |            40 Ohm |                 NONE |           | FIXED      |           |          | External | SPLIT            |              |                   |              |
| B30        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B31        | ALUOUTMEM_aptn_s[19]       | High Performance | IO_L9N_T1L_N5_AD12N_71             | 2          | OUTPUT        | SSTL12_DCI      |      71 |            |                         | SLOW |                   |            FP_VTT_50 |           | FIXED      |           |          |          | SPLIT            |              |                   |              |
| B32        | ALUOUTMEM_aptn_s[17]       | High Performance | IO_L10N_T1U_N7_QBC_AD4N_71         | 2          | OUTPUT        | SSTL12_DCI      |      71 |            |                         | SLOW |                   |            FP_VTT_50 |           | FIXED      |           |          |          | SPLIT            |              |                   |              |
| B33        | WRITEDATAWB[17]            | High Performance | IO_L10P_T1U_N6_QBC_AD4P_71         | 2          | INPUT         | SSTL12_DCI      |      71 |            |                         |      |            40 Ohm |                 NONE |           | FIXED      |           |          | External | SPLIT            |              |                   |              |
| B34        | ALUOUTMEM_aptn_s[57]       | High Performance | IO_L9N_T1L_N5_AD12N_69             | 2          | OUTPUT        | SSTL12_DCI      |      69 |            |                         | SLOW |                   |            FP_VTT_50 |           | FIXED      |           |          |          | SPLIT            |              |                   |              |
| B35        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B36        | WRITEDATAWB[38]            | High Performance | IO_L10P_T1U_N6_QBC_AD4P_69         | 2          | INPUT         | SSTL12_DCI      |      69 |            |                         |      |            40 Ohm |                 NONE |           | FIXED      |           |          | External | SPLIT            |              |                   |              |
| B37        | WRITEDATAWB[40]            | High Performance | IO_L8P_T1L_N2_AD5P_69              | 2          | INPUT         | SSTL12_DCI      |      69 |            |                         |      |            40 Ohm |                 NONE |           | FIXED      |           |          | External | SPLIT            |              |                   |              |
| B38        |                            | High Performance | IO_L4P_T0U_N6_DBC_AD7P_69          | 2          | User IO       |                 |      69 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B39        |                            | High Performance | IO_L4N_T0U_N7_DBC_AD7N_69          | 2          | User IO       |                 |      69 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B40        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B41        |                            | High Performance | IO_L24P_T3U_N10_37                 | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B42        |                            | High Performance | IO_L22P_T3U_N6_DBC_AD0P_37         | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B43        |                            | High Performance | IO_L20N_T3L_N3_AD1N_37             | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B44        |                            | High Performance | IO_T3U_N12_37                      | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B45        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B46        |                            | High Performance | IO_L19N_T3L_N1_DBC_AD9N_37         | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B47        |                            | High Performance | IO_L6P_T0U_N10_AD6P_37             | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B48        |                            | High Performance | IO_L6N_T0U_N11_AD6N_37             | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B49        |                            | High Performance | IO_L5N_T0U_N9_AD14N_37             | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B50        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B51        |                            | High Performance | IO_L1P_T0L_N0_DBC_37               | 3          | User IO       |                 |      37 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| B52        | ALUOUTMEM[16]              | High Performance | IO_L24P_T3U_N10_35                 | 3          | OUTPUT        | LVCMOS12        |      35 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B53        | ALUOUTMEM[24]              | High Performance | IO_L20P_T3L_N2_AD1P_35             | 3          | OUTPUT        | LVCMOS12        |      35 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B54        | ALUOUTMEM[23]              | High Performance | IO_L20N_T3L_N3_AD1N_35             | 3          | OUTPUT        | LVCMOS12        |      35 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B55        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B56        | ALUOUTMEM[54]              | High Performance | IO_L4P_T0U_N6_DBC_AD7P_35          | 3          | OUTPUT        | LVCMOS12        |      35 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B57        | rst_n                      | High Performance | IO_L5P_T0U_N8_AD14P_35             | 3          | INPUT         | LVCMOS12        |      35 |            |                         |      |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B58        | ALUOUTMEM[59]              | High Performance | IO_L5N_T0U_N9_AD14N_35             | 3          | OUTPUT        | LVCMOS12        |      35 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B59        | ALUOUTMEM[56]              | High Performance | IO_L3P_T0L_N4_AD15P_35             | 3          | OUTPUT        | LVCMOS12        |      35 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| B60        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| B61        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BA1        |                            |                  | MGTYRXN3_226                       | 1          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BA2        |                            |                  | MGTYRXP3_226                       | 1          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BA3        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BA4        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BA5        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BA6        | GT1_TXN[1]                 |                  | MGTYTXN1_227                       | 1          | OUTPUT        |                 |         |            |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| BA7        | GT1_TXP[1]                 |                  | MGTYTXP1_227                       | 1          | OUTPUT        |                 |         |            |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| BA8        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BA9        |                            |                  | MGTAVCC_RLC                        |            | Gigabit Power |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BA10       | GT1_REFCLK_N               |                  | MGTREFCLK0N_227                    | 1          | INPUT         |                 |         |            |                         |      |              NONE |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| BA11       | GT1_REFCLK_P               |                  | MGTREFCLK0P_227                    | 1          | INPUT         |                 |         |            |                         |      |              NONE |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| BA12       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BA13       |                            | High Density     | VCCO_88                            |            | VCCO          |                 |      88 |            |                         |      |                   |                      |      1.20 |            |           |          |          |                  |              |                   |              |
| BA14       | ALUOUTMEM[8]               | High Density     | IO_L3P_AD9P_88                     | 1          | OUTPUT        | LVCMOS12        |      88 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| BA15       | ALUOUTMEM_aptn_s[12]       | High Density     | IO_L5N_HDGC_AD7N_88                | 1          | OUTPUT        | LVCMOS12        |      88 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
| BA16       | ALUOUTMEM_aptn_s[15]       | High Density     | IO_L6N_HDGC_AD6N_88                | 1          | OUTPUT        | LVCMOS12        |      88 |          8 |                         | SLOW |                   |                 NONE |           | FIXED      |           |          |          | NONE             |              |                   |              |
